HIP,RAhms,DEdms,Vmag,SpType,HD
3,"00 00 01.20","+38 51 33.4",6.61,"B9",224699
19,"00 00 12.80","+38 18 14.7",6.53,"G5",224721
25,"00 00 19.05","-44 17 25.1",6.28,"G3IV",224750
34,"00 00 23.87","+26 55 05.7",6.43,"F7.5IV-V",224758
43,"00 00 30.98","+59 33 35.1",6.18,"G9III-IV",224784
50,"00 00 34.29","-53 05 51.6",6.49,"G1IV",224782
63,"00 00 43.62","+45 15 12.0",6.36,"B9p SiEu",224801
73,"00 00 52.91","+66 50 52.7",6.9,"K2",224826
88,"00 01 04.60","-48 48 35.5",5.71,"G8III",224834
106,"00 01 19.24","+49 58 53.7",6.22,"G7II-III",224870
107,"00 01 20.11","-50 20 14.6",5.53,"M2III",224865
119,"00 01 33.65","+44 40 31.6",6.82,"K0",224894
121,"00 01 35.15","+28 25 25.6",6.83,"K2III",224895
122,"00 01 35.85","-77 03 55.1",4.78,"K2III",224889
124,"00 01 37.02","+61 13 22.1",5.58,"F0III",224893
128,"00 01 39.30","+73 36 42.8",6.5,"Am...",224890
133,"00 01 41.61","-40 08 55.2",6.62,"F5IV",224914
136,"00 01 42.87","+24 15 11.5",6.6,"K2III-IV",224907
137,"00 01 43.85","+42 22 01.7",6.25,"B9IIIp Mn",224906
145,"00 01 49.44","-03 01 38.9",5.13,"B7III-IV",224926
154,"00 01 57.59","-06 00 50.3",4.37,"M3III",224935
159,"00 02 02.59","-02 45 58.2",6.93,"A3",224945
171,"00 02 09.65","+27 05 04.2",5.8,"G3V",224930
179,"00 02 16.53","-13 24 27.1",6.9,"G0V",224974
181,"00 02 17.72","+60 42 11.5",6.77,"M0",224980
183,"00 02 19.91","-29 43 13.6",5.04,"B4V",224990
186,"00 02 24.17","+08 57 24.6",6.33,"A6V",224995
194,"00 02 29.76","+08 29 08.1",5.7,"F0V",225003
207,"00 02 36.08","+66 05 56.3",5.87,"G8III",225009
238,"00 02 57.43","-20 02 45.9",6.25,"F6/F7V",225045
253,"00 03 07.82","-24 08 42.5",6.46,"K1III",225069
254,"00 03 08.32","+42 44 52.5",6.73,"A2",225068
258,"00 03 13.28","+17 33 08.6",6.59,"K0",225073
274,"00 03 25.72","+63 38 25.9",6.24,"B3Ia",225094
277,"00 03 26.23","-36 15 04.3",6.96,"F2V",225101
297,"00 03 41.87","+48 26 12.9",6.8,"A2",225124
301,"00 03 44.37","-17 20 09.5",4.55,"B9IVn",225132
302,"00 03 51.63","+66 42 43.9",6.31,"M4",225136
330,"00 04 13.66","+62 17 15.6",5.9,"A1III",225180
343,"00 04 19.76","-16 31 44.0",5.78,"K0III",225197
345,"00 04 20.30","-29 16 07.8",6.38,"A1V",225200
355,"00 04 30.12","-10 30 34.2",4.99,"K3Ibvar",225212
365,"00 04 36.60","+42 05 33.2",6.11,"B9III",225218
377,"00 04 41.25","-71 26 12.7",5.59,"B8III",225253
379,"00 04 41.84","+67 09 59.0",5.68,"K1III",225216
394,"00 04 53.21","+34 39 34.4",6.09,"G2V",225239
